etaCalo,Total,Window,fBrem,Threshold,tightID,recoEff,triggerEff,isoEff,IDEff,noIsoCut,EW,Closure,Method
] 0.00 : 0.10],3.73E-04,-1.98E-04,-2.94E-05,-6.03E-05,1.90E-04,7.93E-05,7.96E-05,7.59E-05,8.36E-05,2.79E-07,-4.32E-06,1.32E-05,1.84E-04
] 0.10 : 0.20],2.99E-04,-1.99E-04,1.88E-04,-1.77E-05,2.83E-05,4.39E-05,4.20E-05,4.20E-05,5.16E-05,4.25E-05,4.51E-05,6.02E-06,3.22E-05
] 0.20 : 0.30],2.13E-04,-3.14E-05,8.37E-05,1.04E-05,1.05E-04,3.65E-05,3.58E-05,3.47E-05,4.39E-05,4.45E-05,-2.11E-05,1.20E-05,1.34E-04
] 0.30 : 0.40],3.55E-04,-2.57E-04,2.03E-04,-1.80E-05,1.62E-05,5.76E-05,5.68E-05,5.58E-05,6.73E-05,2.95E-05,7.80E-06,1.46E-05,-5.36E-05
] 0.40 : 0.50],1.71E-04,-1.31E-04,3.69E-06,-5.06E-05,-5.73E-06,3.78E-05,3.71E-05,3.62E-05,4.66E-05,-2.68E-05,1.59E-05,2.84E-06,4.56E-05
] 0.50 : 0.60],3.03E-04,-2.60E-04,-2.63E-05,1.48E-05,-1.03E-06,6.44E-05,6.26E-05,6.24E-05,7.35E-05,4.93E-05,-8.76E-06,1.12E-05,5.95E-05
] 0.60 : 0.70],3.47E-04,-1.81E-04,1.67E-04,-1.37E-05,9.15E-05,4.53E-05,4.23E-05,4.10E-05,5.23E-05,-1.59E-06,-6.23E-06,3.19E-05,2.04E-04
] 0.70 : 0.80],6.16E-04,-4.38E-04,2.48E-05,-2.42E-05,2.71E-04,9.02E-05,8.70E-05,8.56E-05,9.80E-05,9.27E-05,-4.55E-05,1.03E-05,2.63E-04
] 0.80 : 0.90],6.24E-04,-3.85E-04,4.90E-05,-6.32E-05,2.65E-04,5.09E-05,4.70E-05,4.60E-05,6.96E-05,3.28E-05,5.14E-05,4.05E-05,3.84E-04
] 0.90 : 1.00],4.85E-04,-2.99E-04,-3.21E-05,5.82E-06,2.62E-04,6.32E-05,6.03E-05,5.93E-05,7.59E-05,1.23E-05,2.89E-06,2.81E-05,2.43E-04
] 1.00 : 1.10],9.53E-04,-8.52E-04,8.96E-05,4.89E-05,1.89E-04,7.27E-05,7.02E-05,6.81E-05,8.41E-05,1.23E-04,-4.34E-05,2.36E-05,3.12E-04
] 1.10 : 1.20],5.32E-04,-2.97E-04,3.37E-04,2.31E-05,2.47E-05,6.46E-05,6.16E-05,6.04E-05,7.44E-05,1.55E-04,-1.54E-05,2.79E-05,1.97E-04
] 1.20 : 1.28],4.83E-04,5.13E-05,3.92E-04,-8.55E-05,2.50E-04,6.05E-06,-4.15E-07,-2.19E-06,1.96E-05,3.48E-05,7.00E-07,1.11E-05,7.70E-05
] 1.28 : 1.37],6.22E-04,2.61E-05,3.02E-04,1.82E-05,5.04E-04,8.33E-05,7.87E-05,7.63E-05,9.85E-05,2.65E-05,-3.70E-05,2.88E-05,9.73E-05
] 1.37 : 1.42],1.95E-03,-1.88E-03,-2.45E-04,1.21E-06,-1.62E-04,1.94E-04,1.99E-04,1.84E-04,2.10E-04,2.62E-05,8.21E-05,1.16E-04,-3.20E-05
] 1.42 : 1.47],1.57E-03,-1.08E-03,8.83E-04,-2.14E-05,3.66E-04,2.92E-04,3.01E-04,2.78E-04,3.28E-04,2.32E-05,3.56E-05,1.41E-04,-1.30E-04
] 1.47 : 1.51],1.01E-02,-2.96E-03,-9.06E-04,2.59E-04,2.88E-05,4.74E-03,4.79E-03,4.72E-03,4.80E-03,4.74E-04,1.92E-04,6.65E-05,1.19E-03
] 1.51 : 1.55],1.57E-03,-7.97E-05,-3.22E-05,-1.16E-06,1.49E-03,1.67E-04,1.65E-04,1.61E-04,1.92E-04,7.41E-05,2.29E-06,1.18E-04,-3.35E-04
] 1.55 : 1.59],4.64E-03,-4.44E-03,1.27E-03,-5.35E-05,4.66E-05,7.97E-05,7.85E-05,7.56E-05,1.05E-04,-3.73E-05,-1.46E-04,3.91E-05,-3.80E-04
] 1.59 : 1.63],2.09E-03,1.70E-03,5.70E-04,-1.10E-04,9.79E-04,1.00E-04,9.93E-05,9.47E-05,1.25E-04,7.53E-05,-3.32E-05,1.12E-04,-3.43E-04
] 1.63 : 1.68],3.75E-03,3.08E-03,1.04E-03,8.27E-05,1.84E-03,1.67E-04,1.64E-04,1.59E-04,2.02E-04,-3.10E-05,-7.61E-06,4.80E-06,1.97E-04
] 1.68 : 1.73],1.13E-03,-2.20E-04,8.34E-04,-2.16E-04,4.45E-04,6.31E-05,6.01E-05,5.22E-05,8.15E-05,-6.55E-05,2.49E-05,4.86E-05,-5.10E-04
] 1.73 : 1.76],2.38E-03,-2.19E-03,6.96E-04,-2.53E-04,2.48E-04,3.61E-05,3.57E-05,3.36E-05,5.23E-05,-3.37E-05,-8.72E-05,1.26E-04,-4.69E-04
] 1.76 : 1.80],2.25E-03,-1.95E-03,9.37E-04,-6.17E-05,5.96E-04,8.18E-05,8.09E-05,8.01E-05,9.78E-05,4.37E-05,-6.22E-06,4.93E-05,-1.01E-04
] 1.80 : 1.90],8.12E-04,2.90E-04,6.72E-05,6.22E-05,4.73E-04,1.58E-04,1.59E-04,1.56E-04,1.63E-04,4.31E-05,-9.27E-05,7.63E-05,4.75E-04
] 1.90 : 2.00],6.39E-04,-5.07E-06,-4.16E-04,4.23E-05,3.18E-04,8.79E-05,8.83E-05,8.60E-05,9.15E-05,1.38E-06,7.99E-07,2.44E-05,3.16E-04
] 2.00 : 2.05],1.20E-03,-1.11E-03,2.52E-04,-1.00E-04,-2.89E-04,9.02E-05,8.92E-05,8.63E-05,9.92E-05,1.34E-05,2.13E-05,3.04E-05,5.81E-05
] 2.05 : 2.10],8.31E-04,-3.07E-04,-7.17E-04,1.65E-05,-2.16E-04,4.71E-05,4.65E-05,4.53E-05,5.40E-05,-1.19E-05,5.58E-05,3.26E-05,-1.47E-04
] 2.10 : 2.20],8.33E-04,8.08E-04,3.17E-05,-8.86E-06,1.04E-04,5.94E-05,5.84E-05,5.69E-05,6.83E-05,-4.03E-05,-4.04E-05,8.80E-05,4.41E-05
] 2.20 : 2.30],6.13E-04,7.81E-05,3.56E-04,-8.63E-05,4.15E-04,8.29E-05,8.13E-05,7.99E-05,9.22E-05,1.04E-04,-1.48E-05,2.56E-05,1.50E-04
] 2.30 : 2.35],1.13E-03,1.07E-03,-1.80E-04,-5.73E-05,-1.83E-04,1.29E-05,1.19E-05,1.05E-05,5.95E-05,-1.96E-04,2.71E-05,9.62E-05,1.07E-04
] 2.35 : 2.40],1.58E-03,3.66E-04,1.24E-03,-1.40E-04,7.42E-04,2.42E-04,2.40E-04,2.39E-04,2.29E-04,7.69E-05,-7.22E-05,5.74E-05,-1.30E-05
] 2.40 : 2.44],4.93E-03,-2.91E-03,1.79E-03,-1.76E-04,-3.49E-03,2.29E-04,2.26E-04,2.24E-04,2.15E-04,-1.04E-04,-3.91E-04,3.54E-05,-7.98E-05
] 2.44 : 2.47],3.52E-03,2.25E-03,7.23E-04,-6.16E-04,1.33E-03,3.90E-04,3.85E-04,3.85E-04,3.74E-04,-1.42E-05,-8.67E-04,1.15E-04,-1.82E-03
